epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,4705.77,1.22426,2.039,1.11194,1.50037,0,0.74956,0.72734,0.78658,0.50791,0.7582,0.73526,0.7891,0.49134,1.23933,2.02592,1.0165,1.54066,0,0.000892928,0.000892928,0.000892928
66,4777.92,1.23777,2.04043,1.11566,1.52255,0,0.7806,0.697,0.77476,0.49474,0.79021,0.70527,0.77591,0.47927,1.27101,2.04435,1.02526,1.56964,0,0.000889687,0.000889687,0.000889687
67,4849.29,1.20252,2.03315,1.1142,1.49492,0,0.8089,0.70914,0.78158,0.50045,0.81716,0.71638,0.78214,0.48398,1.26929,2.02942,1.02095,1.56354,0,0.000886404,0.000886404,0.000886404
68,4921.8,1.22173,2.04592,1.10503,1.51563,0,0.7714,0.72933,0.78528,0.50502,0.78181,0.73733,0.78975,0.48938,1.24382,2.04901,0.99759,1.544,0,0.000883079,0.000883079,0.000883079
69,4994.73,1.19007,1.9926,1.07249,1.47678,0,0.77938,0.70321,0.77902,0.49299,0.82082,0.68691,0.78451,0.48289,1.25465,2.04251,0.99461,1.54228,0,0.000879713,0.000879713,0.000879713
70,5066.81,1.20394,2.01469,1.08639,1.48926,0,0.7907,0.70322,0.78011,0.50331,0.7907,0.70322,0.77734,0.48889,1.2443,2.06331,1.01631,1.53783,0,0.000876305,0.000876305,0.000876305
71,5138.19,1.18852,1.95679,1.07489,1.4816,0,0.76615,0.73009,0.7892,0.49892,0.76999,0.7332,0.78686,0.48736,1.25261,2.05828,0.98057,1.54519,0,0.000872857,0.000872857,0.000872857
72,5209.96,1.18174,1.98673,1.07111,1.47317,0,0.78373,0.73825,0.79647,0.51426,0.79258,0.74147,0.79947,0.49944,1.22862,1.97397,0.97717,1.52546,0,0.000869368,0.000869368,0.000869368
73,5281.74,1.1703,1.98404,1.05439,1.45531,0,0.78074,0.73277,0.78999,0.50739,0.78874,0.72492,0.78905,0.49217,1.24202,2.01189,0.98935,1.54605,0,0.000865839,0.000865839,0.000865839
74,5354.18,1.20082,1.96199,1.05087,1.47716,0,0.81225,0.69792,0.79276,0.51416,0.82824,0.70321,0.79841,0.50336,1.24251,1.99031,0.98441,1.53668,0,0.000862271,0.000862271,0.000862271
75,5427.76,1.19113,1.96217,1.0582,1.47345,0,0.77801,0.73213,0.79199,0.51878,0.78325,0.74366,0.79636,0.49954,1.22262,2.03003,0.9792,1.51445,0,0.000858664,0.000858664,0.000858664
76,5501.77,1.17351,1.97387,1.04023,1.46153,0,0.81696,0.72465,0.80611,0.5276,0.82218,0.72678,0.80397,0.50773,1.22432,2.01573,0.94472,1.52484,0,0.000855018,0.000855018,0.000855018
77,5575.39,1.17915,1.95152,1.05498,1.46653,0,0.8039,0.70374,0.79226,0.51376,0.80626,0.70581,0.78861,0.50142,1.25263,1.98773,0.969,1.54127,0,0.000851333,0.000851333,0.000851333
78,5648.57,1.17841,1.96165,1.0321,1.46586,0,0.80515,0.71562,0.79412,0.51359,0.81281,0.72285,0.79016,0.49217,1.25129,2.02837,0.95529,1.53423,0,0.000847611,0.000847611,0.000847611
79,5721.23,1.18037,1.97649,1.07528,1.47173,0,0.82645,0.71897,0.80499,0.52162,0.838,0.72182,0.80783,0.50812,1.23598,2.00957,0.96158,1.52624,0,0.000843851,0.000843851,0.000843851
80,5793.68,1.15836,1.98046,1.04613,1.44353,0,0.79943,0.73837,0.79922,0.51683,0.80419,0.74043,0.79594,0.49853,1.24472,2.02848,0.9629,1.54161,0,0.000840054,0.000840054,0.000840054
81,5865.57,1.16735,1.94716,1.03642,1.44686,0,0.80891,0.73216,0.79742,0.51711,0.82344,0.74273,0.80463,0.50304,1.21943,2.03115,0.95188,1.51042,0,0.00083622,0.00083622,0.00083622
82,5938.46,1.14851,1.94358,1.03116,1.42998,0,0.80266,0.7332,0.8079,0.52316,0.81171,0.74147,0.80738,0.50464,1.23542,2.0144,0.92731,1.53317,0,0.000832349,0.000832349,0.000832349
83,6011.06,1.13993,1.94582,1.01841,1.43308,0,0.80573,0.74629,0.80722,0.52424,0.81131,0.75146,0.80772,0.50934,1.22164,1.98857,0.92866,1.50464,0,0.000828443,0.000828443,0.000828443
84,6083.63,1.14889,1.94311,1.01639,1.44198,0,0.80555,0.7425,0.81164,0.5305,0.81219,0.74686,0.81356,0.5121,1.21191,2.00587,0.94438,1.52079,0,0.000824502,0.000824502,0.000824502
85,6157.03,1.1571,1.95169,1.01549,1.44834,0,0.78169,0.75284,0.80363,0.53017,0.78706,0.75801,0.80581,0.5094,1.20495,1.99764,0.90786,1.49446,0,0.000820525,0.000820525,0.000820525
86,6229.88,1.16006,1.93309,1.02581,1.44451,0,0.81483,0.72354,0.79801,0.5204,0.81521,0.72536,0.79678,0.50131,1.23301,2.01989,0.96516,1.51582,0,0.000816514,0.000816514,0.000816514
87,6302.16,1.13853,1.91525,1.00123,1.43716,0,0.82655,0.72285,0.80362,0.52536,0.83497,0.72802,0.80507,0.50728,1.21617,1.99515,0.93956,1.51199,0,0.000812468,0.000812468,0.000812468
88,6374.75,1.14573,1.93547,1.01672,1.43765,0,0.82394,0.73009,0.80962,0.52905,0.82059,0.7394,0.80605,0.51046,1.21264,1.99848,0.94279,1.5073,0,0.000808389,0.000808389,0.000808389
89,6447.17,1.13751,1.93655,1.00333,1.43745,0,0.78708,0.76071,0.8091,0.52874,0.7905,0.76732,0.8075,0.50913,1.20556,2.02656,0.91549,1.50527,0,0.000804277,0.000804277,0.000804277
90,6519.39,1.13658,1.90508,0.98821,1.42902,0,0.82277,0.73733,0.80092,0.52807,0.8294,0.74871,0.80604,0.51055,1.20274,2.00898,0.92219,1.50113,0,0.000800131,0.000800131,0.000800131
91,6591.2,1.11432,1.8954,0.9801,1.40921,0,0.80599,0.74324,0.80575,0.52343,0.81272,0.74945,0.80986,0.50959,1.21282,1.98571,0.91043,1.50093,0,0.000795954,0.000795954,0.000795954
92,6663.25,1.11412,1.93387,0.98303,1.40585,0,0.8189,0.72699,0.79957,0.52845,0.83032,0.73378,0.80675,0.50794,1.2071,1.94758,0.93016,1.48506,0,0.000791744,0.000791744,0.000791744
93,6735,1.13405,1.89428,0.96903,1.42499,0,0.8205,0.7394,0.80244,0.53071,0.83083,0.74871,0.81019,0.50981,1.1808,1.98363,0.90078,1.47371,0,0.000787503,0.000787503,0.000787503
94,6806.69,1.11727,1.89805,0.97592,1.40988,0,0.81959,0.74697,0.80484,0.53267,0.84239,0.74064,0.81433,0.51401,1.18961,1.93808,0.90168,1.48777,0,0.000783231,0.000783231,0.000783231
95,6878.69,1.10827,1.87554,0.98193,1.40794,0,0.81253,0.75299,0.81238,0.53279,0.81823,0.75595,0.81461,0.51666,1.19737,1.95463,0.89669,1.48637,0,0.000778929,0.000778929,0.000778929
96,6950.89,1.11958,1.87869,0.96292,1.42041,0,0.80628,0.76319,0.80694,0.53757,0.81742,0.77316,0.81842,0.51866,1.18634,1.97701,0.90136,1.48145,0,0.000774596,0.000774596,0.000774596
97,7023.08,1.13206,1.91098,0.97557,1.41715,0,0.7888,0.75491,0.80664,0.53424,0.79617,0.76525,0.8136,0.52097,1.20512,1.95731,0.90235,1.49946,0,0.000770234,0.000770234,0.000770234
98,7094.92,1.14327,1.9112,0.99837,1.42327,0,0.79589,0.77353,0.81233,0.53666,0.80125,0.77766,0.81712,0.51954,1.2027,1.97963,0.91587,1.49127,0,0.000765843,0.000765843,0.000765843
99,7166.93,1.10185,1.85546,0.95473,1.40442,0,0.82424,0.72744,0.80561,0.5335,0.8296,0.74011,0.81091,0.51012,1.20114,2.00353,0.89224,1.49845,0,0.000761423,0.000761423,0.000761423
100,7238.38,1.1052,1.87192,0.96631,1.40138,0,0.80071,0.75204,0.80733,0.53466,0.8136,0.75829,0.81556,0.51872,1.21319,1.99459,0.88803,1.50329,0,0.000756976,0.000756976,0.000756976
