epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,7027.79,0.85104,1.46032,0.56971,1.03692,0,0.82881,0.80354,0.8368,0.58876,0.86225,0.77922,0.83412,0.55164,1.14605,2.14216,0.75416,1.23275,0,0.0002774,0.0002774,0.0002774
89,7107.56,0.86142,1.47428,0.57437,1.04355,0,0.83968,0.79324,0.83508,0.58548,0.84393,0.79655,0.83568,0.54875,1.15188,2.1302,0.77199,1.23338,0,0.0002576,0.0002576,0.0002576
90,7187.21,0.84576,1.46225,0.56474,1.03164,0,0.83948,0.80291,0.83349,0.58833,0.84441,0.80508,0.83277,0.55308,1.14306,2.11656,0.77113,1.23415,0,0.0002378,0.0002378,0.0002378
91,7267.69,0.81575,1.37266,0.50192,1.01705,0,0.84147,0.77593,0.82446,0.58395,0.8523,0.78112,0.82809,0.54776,1.15194,2.15277,0.78544,1.23824,0,0.000218,0.000218,0.000218
92,7346.55,0.80376,1.34852,0.48189,1.01695,0,0.87508,0.76037,0.82991,0.58798,0.86822,0.77593,0.83136,0.55254,1.14878,2.14137,0.77523,1.23099,0,0.0001982,0.0001982,0.0001982
93,7425.45,0.79864,1.33019,0.47763,1.00431,0,0.84337,0.782,0.83541,0.59216,0.85026,0.78838,0.8351,0.55577,1.13864,2.17049,0.75999,1.22944,0,0.0001784,0.0001784,0.0001784
94,7504.43,0.78965,1.31913,0.46864,1.0042,0,0.83478,0.79253,0.83124,0.58835,0.83915,0.79668,0.83079,0.5501,1.14579,2.17491,0.7835,1.23221,0,0.0001586,0.0001586,0.0001586
95,7583.57,0.78004,1.31004,0.45673,0.99449,0,0.83355,0.80003,0.83335,0.59215,0.83887,0.80468,0.8309,0.55564,1.13673,2.17415,0.76156,1.22514,0,0.0001388,0.0001388,0.0001388
96,7662.46,0.771,1.30686,0.45572,0.99186,0,0.83598,0.78248,0.83203,0.59045,0.84637,0.78734,0.83222,0.55571,1.13784,2.17565,0.76705,1.22418,0,0.000119,0.000119,0.000119
97,7741.34,0.77073,1.29052,0.45799,0.9888,0,0.8408,0.78344,0.83152,0.59356,0.84449,0.79668,0.83269,0.55553,1.12455,2.16409,0.76732,1.21489,0,9.92e-05,9.92e-05,9.92e-05
98,7820.29,0.76685,1.30827,0.4499,0.98914,0,0.84129,0.78633,0.83238,0.59289,0.84795,0.79256,0.8347,0.55631,1.12686,2.17022,0.76621,1.22222,0,7.94e-05,7.94e-05,7.94e-05
99,7899.6,0.75239,1.29183,0.44611,0.98312,0,0.83421,0.79461,0.82988,0.59312,0.84204,0.79631,0.82949,0.55556,1.12611,2.17844,0.76656,1.21969,0,5.96e-05,5.96e-05,5.96e-05
100,7978.61,0.74878,1.28389,0.44594,0.98799,0,0.82688,0.79772,0.8324,0.59439,0.84985,0.79046,0.83178,0.55434,1.12989,2.18071,0.76798,1.22479,0,3.98e-05,3.98e-05,3.98e-05
